Week,Attack on Titan Interest Over Time
12/27/2015,25
1/3/2016,22
1/10/2016,22
1/17/2016,21
1/24/2016,21
1/31/2016,22
2/7/2016,20
2/14/2016,20
2/21/2016,20
2/28/2016,20
3/6/2016,20
3/13/2016,21
3/20/2016,17
3/27/2016,18
4/3/2016,19
4/10/2016,20
4/17/2016,19
4/24/2016,19
5/1/2016,19
5/8/2016,19
5/15/2016,17
5/22/2016,18
5/29/2016,18
6/5/2016,21
6/12/2016,16
6/19/2016,18
6/26/2016,18
7/3/2016,20
7/10/2016,16
7/17/2016,21
7/24/2016,15
7/31/2016,17
8/7/2016,17
8/14/2016,15
8/21/2016,19
8/28/2016,34
9/4/2016,31
9/11/2016,22
9/18/2016,20
9/25/2016,20
10/2/2016,17
10/9/2016,20
10/16/2016,16
10/23/2016,15
10/30/2016,14
11/6/2016,14
11/13/2016,13
11/20/2016,14
11/27/2016,12
12/4/2016,16
12/11/2016,13
12/18/2016,14
12/25/2016,17
1/1/2017,15
1/8/2017,12
1/15/2017,14
1/22/2017,13
1/29/2017,13
2/5/2017,14
2/12/2017,13
2/19/2017,14
2/26/2017,14
3/5/2017,15
3/12/2017,14
3/19/2017,16
3/26/2017,36
4/2/2017,68
4/9/2017,50
4/16/2017,46
4/23/2017,51
4/30/2017,49
5/7/2017,56
5/14/2017,50
5/21/2017,40
5/28/2017,41
6/4/2017,40
6/11/2017,43
6/18/2017,50
6/25/2017,35
7/2/2017,33
7/9/2017,24
7/16/2017,22
7/23/2017,19
7/30/2017,20
8/6/2017,17
8/13/2017,15
8/20/2017,14
8/27/2017,13
9/3/2017,14
9/10/2017,12
9/17/2017,12
9/24/2017,11
10/1/2017,12
10/8/2017,12
10/15/2017,11
10/22/2017,11
10/29/2017,11
11/5/2017,12
11/12/2017,10
11/19/2017,11
11/26/2017,10
12/3/2017,12
12/10/2017,11
12/17/2017,12
12/24/2017,13
12/31/2017,13
1/7/2018,14
1/14/2018,13
1/21/2018,12
1/28/2018,12
2/4/2018,13
2/11/2018,12
2/18/2018,12
2/25/2018,12
3/4/2018,14
3/11/2018,14
3/18/2018,16
3/25/2018,18
4/1/2018,16
4/8/2018,14
4/15/2018,13
4/22/2018,14
4/29/2018,16
5/6/2018,12
5/13/2018,11
5/20/2018,11
5/27/2018,13
6/3/2018,14
6/10/2018,12
6/17/2018,11
6/24/2018,12
7/1/2018,15
7/8/2018,20
7/15/2018,18
7/22/2018,36
7/29/2018,30
8/5/2018,23
8/12/2018,21
8/19/2018,21
8/26/2018,20
9/2/2018,20
9/9/2018,18
9/16/2018,21
9/23/2018,22
9/30/2018,24
10/7/2018,18
10/14/2018,21
10/21/2018,18
10/28/2018,15
11/4/2018,12
11/11/2018,13
11/18/2018,13
11/25/2018,10
12/2/2018,12
12/9/2018,10
12/16/2018,10
12/23/2018,11
12/30/2018,12
1/6/2019,11
1/13/2019,9
1/20/2019,9
1/27/2019,10
2/3/2019,11
2/10/2019,11
2/17/2019,9
2/24/2019,9
3/3/2019,12
3/10/2019,11
3/17/2019,9
3/24/2019,10
3/31/2019,13
4/7/2019,13
4/14/2019,12
4/21/2019,16
4/28/2019,21
5/5/2019,19
5/12/2019,18
5/19/2019,21
5/26/2019,31
6/2/2019,35
6/9/2019,27
6/16/2019,30
6/23/2019,29
6/30/2019,38
7/7/2019,22
7/14/2019,20
7/21/2019,15
7/28/2019,16
8/4/2019,17
8/11/2019,15
8/18/2019,11
8/25/2019,11
9/1/2019,13
9/8/2019,10
9/15/2019,11
9/22/2019,10
9/29/2019,11
10/6/2019,12
10/13/2019,10
10/20/2019,9
10/27/2019,10
11/3/2019,13
11/10/2019,9
11/17/2019,9
11/24/2019,10
12/1/2019,11
12/8/2019,9
12/15/2019,9
12/22/2019,11
12/29/2019,11
1/5/2020,12
1/12/2020,10
1/19/2020,10
1/26/2020,10
2/2/2020,11
2/9/2020,10
2/16/2020,10
2/23/2020,10
3/1/2020,11
3/8/2020,10
3/15/2020,11
3/22/2020,12
3/29/2020,13
4/5/2020,14
4/12/2020,13
4/19/2020,13
4/26/2020,13
5/3/2020,14
5/10/2020,15
5/17/2020,13
5/24/2020,19
5/31/2020,24
6/7/2020,21
6/14/2020,17
6/21/2020,16
6/28/2020,19
7/5/2020,23
7/12/2020,20
7/19/2020,22
7/26/2020,21
8/2/2020,24
8/9/2020,18
8/16/2020,19
8/23/2020,17
8/30/2020,18
9/6/2020,22
9/13/2020,20
9/20/2020,25
9/27/2020,20
10/4/2020,24
10/11/2020,22
10/18/2020,22
10/25/2020,21
11/1/2020,20
11/8/2020,23
11/15/2020,25
11/22/2020,32
11/29/2020,50
12/6/2020,100
12/13/2020,66
12/20/2020,66
12/27/2020,68
1/3/2021,71
1/10/2021,80
