Week,Hunter x Hunter Interest Over Time
12/27/2015,31
1/3/2016,28
1/10/2016,25
1/17/2016,27
1/24/2016,27
1/31/2016,25
2/7/2016,24
2/14/2016,24
2/21/2016,24
2/28/2016,25
3/6/2016,22
3/13/2016,27
3/20/2016,28
3/27/2016,25
4/3/2016,31
4/10/2016,34
4/17/2016,42
4/24/2016,37
5/1/2016,39
5/8/2016,37
5/15/2016,37
5/22/2016,37
5/29/2016,36
6/5/2016,46
6/12/2016,40
6/19/2016,39
6/26/2016,40
7/3/2016,49
7/10/2016,38
7/17/2016,39
7/24/2016,36
7/31/2016,36
8/7/2016,31
8/14/2016,28
8/21/2016,28
8/28/2016,29
9/4/2016,25
9/11/2016,23
9/18/2016,26
9/25/2016,25
10/2/2016,24
10/9/2016,27
10/16/2016,25
10/23/2016,25
10/30/2016,23
11/6/2016,22
11/13/2016,23
11/20/2016,24
11/27/2016,21
12/4/2016,23
12/11/2016,24
12/18/2016,25
12/25/2016,24
1/1/2017,26
1/8/2017,24
1/15/2017,26
1/22/2017,24
1/29/2017,23
2/5/2017,23
2/12/2017,22
2/19/2017,23
2/26/2017,22
3/5/2017,24
3/12/2017,27
3/19/2017,27
3/26/2017,24
4/2/2017,24
4/9/2017,23
4/16/2017,23
4/23/2017,25
4/30/2017,24
5/7/2017,25
5/14/2017,24
5/21/2017,25
5/28/2017,28
6/4/2017,29
6/11/2017,27
6/18/2017,32
6/25/2017,33
7/2/2017,33
7/9/2017,34
7/16/2017,30
7/23/2017,31
7/30/2017,32
8/6/2017,29
8/13/2017,26
8/20/2017,24
8/27/2017,23
9/3/2017,21
9/10/2017,21
9/17/2017,21
9/24/2017,20
10/1/2017,20
10/8/2017,20
10/15/2017,20
10/22/2017,21
10/29/2017,19
11/5/2017,19
11/12/2017,19
11/19/2017,21
11/26/2017,21
12/3/2017,20
12/10/2017,20
12/17/2017,20
12/24/2017,21
12/31/2017,23
1/7/2018,21
1/14/2018,21
1/21/2018,28
1/28/2018,28
2/4/2018,22
2/11/2018,24
2/18/2018,24
2/25/2018,27
3/4/2018,28
3/11/2018,24
3/18/2018,24
3/25/2018,24
4/1/2018,25
4/8/2018,23
4/15/2018,24
4/22/2018,22
4/29/2018,19
5/6/2018,21
5/13/2018,21
5/20/2018,22
5/27/2018,22
6/3/2018,22
6/10/2018,23
6/17/2018,23
6/24/2018,25
7/1/2018,26
7/8/2018,25
7/15/2018,23
7/22/2018,25
7/29/2018,24
8/5/2018,25
8/12/2018,24
8/19/2018,26
8/26/2018,23
9/2/2018,23
9/9/2018,21
9/16/2018,22
9/23/2018,23
9/30/2018,21
10/7/2018,22
10/14/2018,23
10/21/2018,23
10/28/2018,22
11/4/2018,23
11/11/2018,22
11/18/2018,25
11/25/2018,23
12/2/2018,23
12/9/2018,22
12/16/2018,24
12/23/2018,25
12/30/2018,25
1/6/2019,26
1/13/2019,24
1/20/2019,24
1/27/2019,26
2/3/2019,22
2/10/2019,25
2/17/2019,28
2/24/2019,27
3/3/2019,29
3/10/2019,36
3/17/2019,42
3/24/2019,45
3/31/2019,39
4/7/2019,37
4/14/2019,38
4/21/2019,34
4/28/2019,31
5/5/2019,29
5/12/2019,30
5/19/2019,31
5/26/2019,36
6/2/2019,33
6/9/2019,32
6/16/2019,35
6/23/2019,40
6/30/2019,34
7/7/2019,31
7/14/2019,33
7/21/2019,30
7/28/2019,30
8/4/2019,30
8/11/2019,30
8/18/2019,29
8/25/2019,26
9/1/2019,26
9/8/2019,25
9/15/2019,27
9/22/2019,26
9/29/2019,25
10/6/2019,22
10/13/2019,24
10/20/2019,26
10/27/2019,24
11/3/2019,26
11/10/2019,27
11/17/2019,27
11/24/2019,29
12/1/2019,27
12/8/2019,25
12/15/2019,26
12/22/2019,29
12/29/2019,28
1/5/2020,28
1/12/2020,26
1/19/2020,27
1/26/2020,27
2/2/2020,25
2/9/2020,28
2/16/2020,33
2/23/2020,35
3/1/2020,35
3/8/2020,36
3/15/2020,41
3/22/2020,47
3/29/2020,48
4/5/2020,54
4/12/2020,55
4/19/2020,57
4/26/2020,57
5/3/2020,59
5/10/2020,56
5/17/2020,57
5/24/2020,59
5/31/2020,55
6/7/2020,63
6/14/2020,61
6/21/2020,66
6/28/2020,77
7/5/2020,81
7/12/2020,92
7/19/2020,90
7/26/2020,100
8/2/2020,97
8/9/2020,85
8/16/2020,84
8/23/2020,85
8/30/2020,94
9/6/2020,88
9/13/2020,80
9/20/2020,82
9/27/2020,75
10/4/2020,68
10/11/2020,75
10/18/2020,67
10/25/2020,70
11/1/2020,63
11/8/2020,67
11/15/2020,71
11/22/2020,89
11/29/2020,69
12/6/2020,72
12/13/2020,71
12/20/2020,75
12/27/2020,77
1/3/2021,76
1/10/2021,65
